# z=0.000677
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
B,56713.72,13.8,0.01
I,56713.72,10.13,0.01
R,56713.72,10.84,0.01
V,56713.72,11.51,0.01
B,56713.76,13.607,0.01
R,56713.761,10.902,0.01
V,56713.761,11.565,0.01
I,56713.762,10.173,0.01
B,56713.9,13.71,0.01
I,56713.9,10.12,0.01
R,56713.9,10.8,0.01
V,56713.9,11.47,0.01
B,56714.26,14.019,0.01
I,56714.26,10.367,0.01
R,56714.26,11.006,0.01
V,56714.26,11.588,0.01
B,56714.68,13.84,0.01
I,56714.68,10.11,0.01
R,56714.68,10.85,0.01
V,56714.68,11.54,0.01
B,56714.92,13.79,0.01
I,56714.92,10.13,0.01
R,56714.92,10.81,0.01
V,56714.92,11.53,0.01
B,56715.81,14.04,0.01
I,56715.81,10.14,0.01
R,56715.81,10.9,0.01
V,56715.81,11.63,0.01
B,56715.91,13.9,0.01
I,56715.91,10.12,0.01
R,56715.91,10.85,0.01
V,56715.91,11.58,0.01
B,56716.73,14.13,0.01
I,56716.73,10.16,0.01
R,56716.73,10.94,0.01
V,56716.73,11.67,0.01
B,56717.8,14.521,0.01
I,56717.8,10.184,0.01
R,56717.8,10.995,0.01
V,56717.8,11.726,0.01
B,56717.92,14.08,0.01
I,56717.92,10.08,0.01
R,56717.92,10.86,0.01
V,56717.92,11.65,0.01
R,56718.864,11.064,0.01
B,56718.865,14.073,0.01
I,56718.865,10.16,0.01
V,56718.866,11.848,0.01
B,56719.36,14.411,0.01
I,56719.36,10.304,0.01
R,56719.36,11.092,0.01
V,56719.36,11.850,0.01
B,56719.68,14.11,0.01
I,56719.68,10.18,0.01
R,56719.68,10.94,0.01
V,56719.68,11.81,0.01
V,56720.77,11.954,0.01
I,56720.771,10.21,0.01
R,56720.771,11.158,0.01
B,56720.773,14.181,0.01
B,56721.27,14.453,0.01
I,56721.27,10.384,0.01
R,56721.27,11.207,0.01
V,56721.27,11.981,0.01
B,56722.749,14.296,0.01
V,56722.75,12.064,0.01
I,56722.751,10.298,0.01
R,56722.751,11.269,0.01
B,56723.25,14.626,0.01
I,56723.25,10.498,0.01
R,56723.25,11.345,0.01
V,56723.25,12.150,0.01
B,56723.3958,14.504,0.01
V,56723.4014,12.109,0.01
B,56723.748,14.335,0.01
V,56723.748,12.122,0.01
I,56723.749,10.369,0.01
R,56723.749,11.336,0.01
B,56724.25,14.703,0.01
I,56724.25,10.640,0.01
R,56724.25,11.426,0.01
V,56724.25,12.148,0.01
B,56724.749,14.361,0.01
R,56724.75,11.369,0.01
V,56724.75,12.146,0.01
I,56724.751,10.443,0.01
B,56724.9,14.822,0.01
I,56724.9,10.425,0.01
R,56724.9,11.326,0.01
V,56724.9,12.179,0.01
B,56725.25,14.758,0.01
I,56725.25,10.693,0.01
R,56725.25,11.514,0.01
V,56725.25,12.176,0.01
R,56725.798,11.374,0.01
V,56725.798,12.189,0.01
I,56725.805,10.518,0.01
B,56726.0,14.944,0.01
I,56726.0,10.480,0.01
R,56726.0,11.371,0.01
V,56726.0,12.152,0.01
V,56726.751,12.227,0.01
B,56726.752,14.341,0.01
I,56726.752,10.586,0.01
R,56726.752,11.456,0.01
B,56727.0,15.009,0.01
I,56727.0,10.545,0.01
R,56727.0,11.457,0.01
V,56727.0,12.250,0.01
B,56727.25,14.716,0.01
I,56727.25,10.737,0.01
R,56727.25,11.506,0.01
V,56727.25,12.276,0.01
